                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.6808,                 1.4537,                 1.4337,                0.65155,                0.59212,                0.66302,                0.31799,                 1.7883,                 1.7528,                 1.5738,              0.0007328,              0.0007328,              0.0007328
                     34,                  1.579,                  1.409,                 1.3849,                0.72927,                0.59583,                0.69668,                0.35482,                 1.7108,                 1.6339,                 1.4843,              0.0006932,              0.0006932,              0.0006932
                     35,                  1.698,                  1.392,                 1.4172,                0.75381,                0.62083,                0.72322,                0.39137,                 1.6216,                 1.5405,                   1.43,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.5691,                 1.3542,                 1.4007,                0.78252,                0.65833,                0.73537,                0.40616,                 1.5606,                 1.4852,                 1.3864,               0.000614,               0.000614,               0.000614
                     37,                  1.616,                 1.3687,                  1.401,                0.83831,                0.66968,                0.76172,                0.43751,                 1.4942,                 1.4454,                 1.3448,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.4342,                  1.234,                 1.2956,                0.83667,                0.68301,                0.77313,                0.42043,                 1.5525,                 1.4586,                 1.3766,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.5524,                 1.2466,                 1.3331,                 0.8174,                    0.7,                0.78988,                0.41715,                 1.5992,                  1.455,                 1.4041,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.6276,                 1.5858,                 1.4212,                0.83144,                  0.725,                0.79867,                0.42977,                 1.5757,                 1.4367,                 1.3886,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.6133,                 1.5576,                 1.3877,                0.87188,                0.70885,                0.81598,                0.46199,                 1.5047,                 1.4447,                  1.347,               0.000416,               0.000416,               0.000416
                     42,                 1.5175,                 1.4146,                  1.388,                0.85941,                0.68768,                0.80583,                0.48094,                 1.4436,                 1.4968,                 1.3075,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.4633,                 1.3627,                 1.3164,                0.84684,                    0.7,                0.81006,                0.49596,                  1.398,                 1.5193,                 1.2798,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.4229,                 1.3262,                 1.2757,                 0.8407,                0.72566,                 0.8298,                0.51394,                 1.3657,                 1.4831,                 1.2586,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.4494,                 1.3089,                 1.2751,                0.86198,                0.75465,                0.85034,                0.52924,                 1.3466,                 1.3861,                 1.2394,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.4297,                 1.3312,                 1.3198,                0.87319,                0.79167,                0.87043,                0.54822,                 1.3278,                 1.2993,                 1.2281,               0.000218,               0.000218,               0.000218
                     47,                  1.415,                 1.2737,                    1.3,                0.88268,                0.78374,                0.88419,                0.56084,                 1.3188,                 1.2329,                 1.2247,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.4399,                 1.2758,                 1.2973,                0.89553,                0.78581,                0.89066,                0.56703,                 1.2959,                 1.1867,                 1.2141,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.4227,                 1.2742,                 1.2539,                0.90371,                 0.7821,                0.89253,                0.57239,                 1.2731,                 1.1568,                 1.2035,               9.92e-05,               9.92e-05,               9.92e-05
